"排序","一级分类","二级分类","评估项目","操作描述","所需材料","适用年龄","是否必答","评分_a_分值","评分_a_标签","评分_a_说明","评分_b_分值","评分_b_标签","评分_b_说明","评分_c_分值","评分_c_标签","评分_c_说明","评分_d_分值","评分_d_标签","评分_d_说明","评分_e_分值","评分_e_标签","评分_e_说明"
"1","发展副测验","小肌肉-FM","旋开瓶盖","","肥皂泡液(有盖)","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"2","发展副测验","小肌肉-FM","吹肥皂泡","","肥皂泡液(有盖)","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"3","发展副测验","认知(语言/语前)-CVP","目光追视","","肥皂泡液(有盖)","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"4","发展副测验","认知(语言/语前)-CVP","目光追视跨越中线","","肥皂泡液(有盖)","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"5","发展副测验","认知(语言/语前)-CVP","检视触觉块","无兴趣/怪异兴趣","触觉块","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"6","发展副测验","模仿(视觉/动作)-VMI","使用万花筒","观看____扭动____\n观看+扭动____","万花筒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"7","发展副测验","认知(语言/语前)-CVP","表现出能够使用惯用眼","惯用眼: 左/右\n第1次观察____\n第2次观察____","万花筒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"8","发展副测验","认知(语言/语前)-CVP","转向手摇铃声","","手摇铃","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"9","发展副测验","模仿(视觉/动作)-VMI","模仿按动响铃2次","第1次尝试____\n第2次尝试____","响铃","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"10","发展副测验","小肌肉-FM","手指插入胶泥并做出凹位","","胶泥及竹棒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"11","发展副测验","小肌肉-FM","抓握竹棒","","胶泥及竹棒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"12","发展副测验","模仿(视觉/动作)-VMI","听生日歌假装吹蜡烛","","胶泥及竹棒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"13","发展副测验","模仿(视觉/动作)-VMI","享受音乐","","胶泥及竹棒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"14","发展副测验","小肌肉-FM","搓胶泥条","","胶泥及竹棒","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"15","发展副测验","小肌肉-FM","操控手偶","","手偶及物件","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"16","发展副测验","小肌肉-FM","利用手偶模仿日常动作","喂食____饮水____\n刷牙____抹鼻____","手偶及物件","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"17","发展副测验","语言表达-EL","指出手偶的3个身体部位","眼____耳____\n口____鼻____","手偶及物件","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"18","发展副测验","语言表达-EL","指出3个自己的身体部位","眼____耳____\n口____鼻____","手偶及物件","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"19","发展副测验","语言表达-EL","使用两个手偶演出故事","","手偶及物件","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"20","行为副测验","社交互动-SR","与手偶作假想游戏","","手偶及物件","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"21","发展副测验","认知(语言/语前)-CVP","指示出3块拼块的正确位置","三角形____圆形____\n正方形____","几何形状拼板","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"22","发展副测验","认知(语言/语前)-CVP","完成形状拼板","三角形____圆形____\n正方形____","几何形状拼板","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"23","发展副测验","语言表达-EL","说出形状名称","三角形____圆形____\n正方形____","几何形状拼板","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"24","发展副测验","语言理解-RL","挑选形状","三角形____圆形____\n正方形____","几何形状拼板","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"25","发展副测验","认知(语言/语前)-CVP","完成4块物件拼板","小鸡____雨伞____\n蝴蝶____雪梨____","物件拼版（雨伞、小鸡、蝴蝶及雪梨）","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"26","发展副测验","认知(语言/语前)-CVP","跨越中线取拼块","","物件拼版（雨伞、小鸡、蝴蝶及雪梨）","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"27","发展副测验","认知(语言/语前)-CVP","指示出3块手套拼块的正确位置","大____中____小____","大小拼块：手套","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"28","发展副测验","认知(语言/语前)-CVP","完成手套拼板","大____中____小____","大小拼块：手套","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"29","发展副测验","认知(语言/语前)-CVP","说出物件大小","第1次: 大____小____\n第2次: 大____小____","大小拼块：手套","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"30","发展副测验","语言理解-RL","挑选大小物件","第1次: 大____小____\n第2次: 大____小____","大小拼块：手套","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"31","发展副测验","认知(语言/语前)-CVP","指示出拼块正确的位置","自行/需示范\n完成块数:____","相连拼图：猫","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"32","发展副测验","认知(语言/语前)-CVP","紧扣4块猫拼图","紧扣____块","相连拼图：猫","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"33","发展副测验","认知(语言/语前)-CVP","完成6块牛拼图","自行/需示范\n完成块数:____","6块牛拼图：牛","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"34","发展副测验","认知(语言/语前)-CVP","拼出8块的男孩拼图","头____头发____\n双眼____鼻____\n口____身____\n脚____","磁石板及男孩磁石拼块","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"35","发展副测验","认知(语言/语前)-CVP","模仿使用3件发声物","响板____\n手铃____\n匙子____","响板、手铃、匙子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"36","发展副测验","语言表达-EL","说出5件物件名称","袜子____杯子____\n牙刷____蜡笔____\n剪刀____梳子____\n铅笔____","实物及图卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"37","发展副测验","小肌肉-FM","正确使用4件物件","杯子____匙子____\n蜡笔____梳子____\n剪刀____","实物及图卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"38","发展副测验","语言理解-RL","在要求下交出3件物件","杯子____匙子____\n蜡笔____梳子____\n剪刀____","实物及图卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"39","发展副测验","认知(语言/语前)-CVP","实物配对图片5对","袜子____杯子____\n牙刷____匙子____\n剪刀____梳子____\n铅笔____","实物及图卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"40","发展副测验","语言理解-RL","明白3个常见物件的名称","指出物件____","实物及图卡","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"41","发展副测验","小肌肉-FM","利用前二指钳法","","M & Ms","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"42","发展副测验","认知(语言/语前)-CVP","找寻完全被隐藏的物件","","杯子及喜爱玩具","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"43","发展副测验","认知(语言/语前)-CVP","杯下寻物","第1次:____\n第2次:____\n第3次:____","3双杯子及糖果","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"44","发展副测验","认知(语言/语前)-CVP","触觉辨别4件物件（无视觉提示）","球____积木____\n蜡笔____硬币____\n匙子____","5件物件及布袋","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"45","发展副测验","认知(语言/语前)-CVP","恰当地检视及运用测试材料","短暂/没有","5件物件及布袋","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"46","发展副测验","认知(语言/语前)-CVP","恰当地使用视觉检视测试材料","过分兴趣/过分抗拒","5件物件及布袋","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"47","发展副测验","大肌肉-GM","拍手","","5件物件及布袋","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"48","发展副测验","大肌肉-GM","单脚站立","","5件物件及布袋","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"49","行为副测验","情感表达-AE","享受身体接触","拒绝/过分抗拒","5件物件及布袋","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"50","行为副测验","情感表达-AE","享受被搔痒","拒绝/过分反应","5件物件及布袋","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"51","行为副测验","社交互动-SR","主动重复社交游戏","","软布","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"52","行为副测验","社交互动-SR","主动与测试员有社交沟通","被动/完全无反应","软布","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"53","发展副测验","大肌肉-GM","双脚离地跳跃","","软布","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"54","发展副测验","大肌肉-GM","模仿3项大肌肉动作","举单手____\n摸鼻____\n举手+摸鼻____","软布","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"55","发展副测验","大肌肉-GM","双脚交替地上梯级","","梯级","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"56","发展副测验","大肌肉-GM","用杯子喝饮品","","杯子及果汁","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"57","发展副测验","大肌肉-GM","聆听及转向哨子声","","哨子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"58","发展副测验","大肌肉-GM","接球","第1次____\n第2次____\n第3次____","球及梯级","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"59","发展副测验","大肌肉-GM","抛球","第1次____\n第2次____\n第3次____","球及梯级","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"60","发展副测验","大肌肉-GM","踢球","第1次____\n第2次____\n第3次____","球及梯级","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"61","发展副测验","大肌肉-GM","表现出使用惯用脚","踢球____\n上梯级____","球及梯级","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"62","发展副测验","大肌肉-GM","持球并向前行4步","","球及梯级","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"63","发展副测验","大肌肉-GM","推球","","球及梯级","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"64","行为副测验","行为特征-非语言-CMB","对绳子的反应","无兴趣/怪异兴趣","绳子、珠子","","是","0","严重","","1","轻微","","2","恰当","","","","","","",""
"65","发展副测验","小肌肉-FM","用绳子穿珠子","完成____粒","绳子、珠子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"66","发展副测验","小肌肉-FM","摆动穿上珠子的绳子","","绳子、珠子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"67","发展副测验","小肌肉-FM","拿走包绒铁丝上的珠粒","完成____粒","包绒铁丝、珠子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"68","发展副测验","小肌肉-FM","协调地运用双手","","包绒铁丝、珠子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"69","发展副测验","小肌肉-FM","将物件由一只手交到另一只手","","包绒铁丝、珠子","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"70","发展副测验","小肌肉-FM","自发地涂画","","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"71","发展副测验","小肌肉-FM","表现出使用惯用手","惯用手: 左/右____","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"72","发展副测验","小肌肉-FM","沿线描画3个图形","圆形____\n正方形____\n三角形____\n菱形____","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"73","发展副测验","小肌肉-FM","仿画垂直线（若70=0分，给0分）","","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"74","发展副测验","小肌肉-FM","仿画圆形（若73=0分，给0分）","","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"75","发展副测验","小肌肉-FM","仿画正方形（若73=0分，给0分）","","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"76","发展副测验","小肌肉-FM","仿画三角形（若73=0分，给0分）","","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"77","发展副测验","小肌肉-FM","仿画菱形（若73=0分，给0分）","","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"78","发展副测验","小肌肉-FM","界内着色（若73=0分，给0分）","","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
"79","发展副测验","小肌肉-FM","抄写7个字母（若73=0分，给0分）","","画写簿","","是","0","不通过","","1","萌芽","","2","通过","","","","","","",""
